/////////////////////////// CORRECTED PROBABILITIES ///////////////////////////


/////////////////////// ARPA NET /////////////////////////



//////////////// CONSTANT BANDWIDTH ////////////////

connections_300_NSFNET-Topo-0.001-0.004-0.04.txt, dist, pessimistic, 0.77
connections_100_NSFNET-Topo-0.001-0.006-0.06.txt, dist, pessimistic, 0.93
connections_300_NSFNET-Topo-0.001-0.002-0.02.txt, dist, pessimistic, 0.96
connections_300_NSFNET-Topo-0.001-0.014-0.14.txt, dist, pessimistic, 0.46
connections_200_NSFNET-Topo-0.001-0.018-0.18.txt, dist, pessimistic, 0.48
connections_300_NSFNET-Topo-0.001-0.02-0.2.txt, dist, pessimistic, 0.34
connections_200_NSFNET-Topo-0.001-0.014-0.14.txt, dist, pessimistic, 0.57
connections_300_NSFNET-Topo-0.001-0.006-0.06.txt, dist, pessimistic, 0.67
connections_300_NSFNET-Topo-0.001-0.016-0.16.txt, dist, pessimistic, 0.39
connections_100_NSFNET-Topo-0.001-0.008-0.08.txt, dist, pessimistic, 0.88
connections_100_NSFNET-Topo-0.001-0.014-0.14.txt, dist, pessimistic, 0.63
connections_200_NSFNET-Topo-0.001-0.008-0.08.txt, dist, pessimistic, 0.67
connections_100_NSFNET-Topo-0.001-0.002-0.02.txt, dist, pessimistic, 1.00
connections_100_NSFNET-Topo-0.001-0.018-0.18.txt, dist, pessimistic, 0.72
connections_200_NSFNET-Topo-0.001-0.006-0.06.txt, dist, pessimistic, 0.74
connections_100_NSFNET-Topo-0.001-0.016-0.16.txt, dist, pessimistic, 0.68
connections_100_NSFNET-Topo-0.001-0.004-0.04.txt, dist, pessimistic, 1.00
connections_200_NSFNET-Topo-0.001-0.004-0.04.txt, dist, pessimistic, 0.93
connections_200_NSFNET-Topo-0.001-0.01-0.1.txt, dist, pessimistic, 0.65
connections_200_NSFNET-Topo-0.001-0.002-0.02.txt, dist, pessimistic, 1.00
connections_100_NSFNET-Topo-0.001-0.012-0.12.txt, dist, pessimistic, 0.76
connections_200_NSFNET-Topo-0.001-0.016-0.16.txt, dist, pessimistic, 0.55
connections_100_NSFNET-Topo-0.001-0.02-0.2.txt, dist, pessimistic, 0.59
connections_300_NSFNET-Topo-0.001-0.008-0.08.txt, dist, pessimistic, 0.58
connections_100_NSFNET-Topo-0.001-0.01-0.1.txt, dist, pessimistic, 0.73
connections_200_NSFNET-Topo-0.001-0.012-0.12.txt, dist, pessimistic, 0.65
connections_300_NSFNET-Topo-0.001-0.018-0.18.txt, dist, pessimistic, 0.35
